date,askingPrice,revenueMultiple,listingHeadline,listingType,totalRevenueAnnual,totalProfitAnnual,totalGrowthAnnual,location,dateFounded,about,revenue,customers,keywords,annualProfit,growthAnnual,techStack,businessModel,competitors,weeklyViews
2023-02-15,2100400,2.2,Cash flow positive eCommerce SaaSC ompany,platinum,952646,-4918,2,United States,2015-03-01,"Profitable SaaS with $1,200,000 in TTM revenue and $187,000 in TTM profit that uses web scrapping to allow clients to dropship arbitrage across the world. Its software automates the operations of your store by taking existing retailer listings, marking them up, and automatically publishing them to your own marketplace account. You simply buy the item after it has already been pre-sold to an eager customer.

âœ… $1,200,000 in TTM revenue
âœ… $187,000 in TTM profit
âœ… $30,000 in revenue last month
âœ… $30,000 in profit last month
âœ… Competitors: Tactical Arbitrage, Oberlo, Oaxray",1200300,10-100,"Software as Service, Technology , Arbitrage",-4918,2,"AWS, Heroku","15% of client revenue, no signup fee, no flat fee","['Tactical Arbitrage', 'Oberlo', 'Oaxray ']",2
2023-02-10,2000000,4.3,Tool for helping retailers create a fully-integrated loyalty program,platinum,470000,410000,17,Canada,2015-01-01,"Profitable SaaS with $470,000 TTM revenue and $410,000 TTM profit that allows retailers to create a loyalty program, fully integrated within their POS software to build longer-lasting and more profitable relationships with their customers.

âœ… $470,000 in TTM revenue 
âœ… $410,000 in TTM gross profit 
âœ… $43,000 in revenue last month
âœ… $35,000 in profit last month
âœ… Competitors: Loyalty Lion, Fivestars, Marsello, Preferred Patron, Kangaroo

The loyalty platform was launched in 2015 with the mission to provide independent retailers with a solution to attract new customers and enhance the lifetime value of their customers. 

The startup partnered with leading cloud-based point of sale (POS) companies such as Lightspeed POS, Vend, and Heartland Retail (Springboard Retail). 

Users of those SaaS platforms can create and manage their loyalty programs while seamlessly maintaining their workflow within the POS.",470000,100-1000,"saas, loyalty",410000,17," PHP,MySQL,
 Angular,
Googlecloud
","The sales are composed of 100% repeat recurring revenue with a very low churn since it is very difficult for a merchant to terminate a loyalty program once launched.

âœ… $350,000 in TTM Profit (SDE) 
âœ… $550,000 run rate for 2023 ","['Loyalty Lion', 'Fivestars', 'Marsello', 'Preferred Patron', 'Kangaroo', 'Perkville', 'Ackroo', 'Paystone', 'Belly', 'Tapmango']",108
2023-01-30,1200000,4,Digital loyalty platform for blockchain-based rewards like tokens and NFTs,platinum,300000,0,15,Mexico,2018-07-01,"SaaS with $300,000 in TTM revenue that delivers sophisticated loyalty programs on app, web, WhatsApp, wallet, and blockchain. Welcome to the token economy for brands. Its mission is to help you sell more for a longer by enabling a solution that helps you give your customer audience what they want with a delightful digital experience.

âœ… $300,000 in TTM revenue
âœ… $300,000 in revenue last month
âœ… Bootstrapped
âœ… Tech: AWS, Node, Angular, React, Solana
âœ… Competitors: Antavo, Comarch, TalonOne",300000,10-100,"Loyalty, Web3, Digital Marketing",0,15,"AWS, NodeJS, Angular, ReactJS, Solana","B2B SaaS License, in addition to setup/consulting fees and a margin on rewards transactions.","['Antavo', 'Comarch', 'TalonOne']",4
2023-01-26,1750000,0.6,Programmatic Job Advertising for SMBs,platinum,2867778,726952,50,Canada,2015-01-01,"Profitable SaaS with $2,900,000 in TTM revenue and $727,000 in TTM profit that allows employers to reach candidates effectively, efficiently, and economically. It has built a proprietaryÂ publisher network of over 150 sites across the US and has built AI algorithms to match the right candidates with the right jobs in real-time. 

âœ… $2,900,000 in TTM revenue
âœ… $727,000 in TTM profit
âœ… Raised $1,250,000 in funding
âœ… Tech: Ruby, Postgress, Node.js, React
âœ… Competitors: Appcast, Joveo, Pandologic",3100000,10-100,"HRTech, Talent acquisition",726952,50,"Rubyrails,
PostgreSQL,
NodeJS,
React 
","Our current busines model is transactional similar to traditional ad tech companies. Employer chose a budget and we share the margins with our job board partners. 
We have also launched a SAAS platform that will add additional predictable revenue stream. 
","['Appcast', 'Joveo', 'Pandologic']",27
2023-01-20,2000000,2.4,Scalable & actionable video analytics suite for YouTube creators and publishers,platinum,828468,88293,0,United Kingdom,2011-08-01,"Profitable SaaS with $828,000 in TTM revenue and $88,000 in TTM profit that is a pioneer in the online video space with its unique scalable & actionable video analytics suite. Together with its proprietary tech & a seasoned team of experts, it supports global publishers, brands & agencies to scale up the audience, revenue, and new business in the top social video platforms such as YouTube.

âœ… $828,000 in TTM revenue
âœ… $88,000 in TTM profit
âœ… $69,000 in revenue last month
âœ… $7,000 in profit last month
âœ… Competitors: AwesomenessTV , Studio71 , Disney Digital Network ",828000,100-1000,"YouTube, United Kingdom, YouTube Multichannel Network, MCN, CMS, YouTube Content Management System, YouTube CMS",88293,0,"    PHP,
    Angular, 
    NodeJS,Googlecloud","The YouTube Network has a Revenue share business model. Revenue share can vary depending on the contract/creators, the standard revenue share via online registration is 30/70%, 30% for BMV, 70% for creators.

Other types of revenues might be from Branded Content Sales, Influencer Marketing Campaigns, Content Distribution and Monetization on other platforms outside of YouTube i.e. Publisher Networks, Facebook monetisaion etc. ","['AwesomenessTV ', 'Studio71 ', 'Disney Digital Network (Formerly Maker Studios)']",6
2023-01-18,1200000,3.9,"Cyber security SaaS AI product, created by prestigious UK cyber security consultancy.  ",platinum,304000,174231,100,United Kingdom,2022-09-01,"Profitable SaaS with $304,000 in TTM revenue and $174,231 in TTM profit that builds cyber security products for high-threat environments. We are a team of experts serving government and industry customers. It is like a cyber security App Store for malware and file analysis. We have built it to fill a gap and disrupt the file analysis malware market, it automates hugely complex cyber security tasks, and even the build is automated which was also something only high-cost experts could do before.

âœ… $304,000 in TTM revenue
âœ… $174,231 in TTM profit
âœ… $34,000 in revenue last month
âœ… $20,000 in profit last month
âœ… Competitors: CrowdStrike, Trellix, Cuckoo",350000,10-100,"malware analysis platform, malware analysis apps,  file analysis, cyber security file analysis platform, SaaS, cyber security, AI",174231,100,"Kubernetes, Python,AWS","B2B SaaS, pricing is easily customizable, customers pay per minute, per day, and per month, and it is very flexible. The platform saves organizations money or enables organizations to do something they could not previously afford. Currently, we set some sample pricing on the website, typically enterprises size organizations will pay the most expensive cyber security professionals to do what it does, which means those people can focus on more valuable work or an organization can have fewer people and use it for 80% of the work. ","['CrowdStrike', 'Trellix', 'Cuckoo']",65
2023-01-12,1000000,5.7,The platform that solves the daily burden of checking and recording your cold storage units.,premium,176967,-122914,0,Australia,2017-07-01,"SaaS with $177,000 in TTM revenue is a system that can monitor cold storage units using wireless sensors connected to a gateway using WiFi or cellular connection. Its smartphone app is available on iOS and Android. Customers purchase the hardware for each point of monitoring and pay an annual subscription fee for usage and data storage.

âœ… $177,000 in TTM revenue
âœ… $2,000 in revenue last month
âœ… $2,000 in profit last month
âœ… Competitors: One Temp, Monika",0,,temperature monitoring,-122914,0,IBM Cloud.,"B2B Hardware and SAAS Sales, average customer pays $250.00 plus GST, per monitoring point for hardware and $162.00 plus GST annually for SAAS. ","['One Temp', 'Monika']",1
2023-01-10,1050000,6.2,Product analytics with pre-built reports and guided setup for product teams and growth agencies.,premium,170000,0,10,United Kingdom,2015-09-01,"Our product is a SaaS tool that helps product managers and marketers get insights from their data more efficiently. 

It features a range of analysis templates that make it easy to uncover valuable insights and make informed decisions. Our customers consistently rave about how much time and effort this tool saves them and how it has improved their ability to analyze data and make data-driven decisions. 

The business has achieved over $170,000 in revenue in the past 12 months, with a MRR of $15,000 and operational costs of $10,000 in the past month. The product has a very high retention and engagement rate, with a Monthly Churn Rate of just 2.8% (average for 2022). 

It has received impressive scores of 4.9 on Capterra and 4.8 on G2 (over 20 reviews in total).

Customers have given the product overwhelmingly positive reviews, which can be seen in the professional video testimonials provided. In addition to the main product, the business also includes a couple of free tools (calculators, wizards) that are used for lead generation. 

The domain has a Semrush authority score of 41, and our blog has over 125 expertly written articles that generate a CTR of 1.1% on Google search results, with an average position of 37. We also run a popular podcast with 18 episodes and over 2,000 downloads.

As part of the deal, we offer a 2-month period, all hands on deck for transferring the product to the buyer at no extra cost. 

In addition, we are offering the following extra support for a rate of $3,000 per month:

- Continuing to write for the blog at a rate of 2 articles per month for a period of 6 months
- Continuing to host the podcast for a period of 6 months
- Participating in sales calls when technical expertise is required (10 calls over a period of 6 months)
- Providing technical/analytics support for addressing customer tickets for 6 months

We also have the ability to offer dev support after the 2-month transfer period ($3000-$5000 / month, depending on load).",180000,10-100,"product analytics, saas, growth",0,10,"PHP, MongoDB, BigQuery, AppEngine, Googlecloud",SaaS,"['Amplitude', 'Mixpanel', 'June']",3
2023-01-03,3000000,3,Customizable project mgmt. for helping companies organize their work,platinum,1000000,0,0,United States,2019-01-01,"SaaS with $600,000 in TTM revenue that allows users to organize any type of project in one tool. This robust, full-featured and highly customizable platform is helping 100,000+ users worldwide organize their work better. 

âœ… $1,000,000 in TTM revenue
âœ… Bootstrapped
âœ… Tech: PHP Laravel Vue.js MySQL DigitalOcean AWS
âœ… Competitors: Airtable, Clickup, Monday, Trello",0,10000-100000,"project management, task management, online database, CRM, no-code, saas, laravel, work os",0,0,"PHP,
Vue.js,
MySQL,
DigitalOcean,
AWS",B2B SaaS with multiple business and pricing models.,"['Airtable', 'Clickup', 'Monday', 'Trello']",5
2023-01-02,1850000,4.5,Event platform for helping creators & brands grow & monetize audience,platinum,414472,-264727,0,United Kingdom,2018-08-01,"SaaS with $423,000 in ARR and $414,000 in TTM revenue that helps creators and brands grow and monetize audience by taking out the pain out of running a virtual event. With powerful features from an integrated landing page builder, and referral tools, to ticketing and payment processing.

âœ… $414,000 in TTM revenue
âœ… $12,000 in revenue last month
âœ… $18,000 in profit last month
âœ… Competitors: vFairs, Hopin, Airmeet, Cvent",423000,100-1000,"SaaS, UK, Django, Python, AWS, Events, Summits, Virtual",-264727,0,"Python, Tailwind,JavaScript, jQuery, Vue.js, AWS",SaaS revenue model with 3 tiers of pricing (ranging from $33 a month to $299 a month). We also take a small transaction fee on ticket sales processed through the platform (ranging from 2-7%). GMV (ticket sales) is currently on average $200-500k per month.,"['vFairs', 'Hopin', 'Airmeet', 'Cvent']",2
2023-01-02,2100000,5.7,"Royalty Free Music, Sound Licensing, & AI Tools Platform for Content Creators",platinum,370225,179763,5,United States,2017-05-01,"Profitable SaaS with $400,000 in ARR and TTM revenue.

ðŸ“Œ SAAS

A royalty-free music platform providing copyright-safe music, sound effects, intros/outros and developing AI-powered tools for content creators. The company sell licenses and subscriptions to customers and businesses + receive consistent YouTube earnings from royalties from its own music (which is being used in hundreds of thousands of videos) + have contracts and Enterprise Plans with API access with other companies that offer tools for content creators (i.e.: video editing apps, in-store music, AI-based content creator companies).

âœ… $370,2225 in TTM revenue
âœ… $179,763 in TTM profit
âœ… $53,982 in revenue last month
âœ… 68k unique visitors in the past 30 days
âœ… 25 million YouTube views with our music each month

The company is at its best, with a record number of users and immersed in the boom of the exponentially growing creator economy industry, which is now worth more than $100 billion.

Huge growth opportunity for the right buyer as the company has not had paid advertisement. The growth has been organic through a mix of freemium/premium plans and great SEO. Google just loves this site and ranks it great for 58.7k organic keywords. With an Authority Score on SemRush of 40 and 47.4K backlinks.

The company has developed a few AI-powered tools looking to attract a new audience in the fastest-growing industry in tech. As all music on the platform is our proprietary content, it is unique in its ability to be modified, mixed, altered, and processed as needed to create exceptional tools.

The company and brand is pretty well-known and it has a great reputation.

ðŸ“Œ ROYALTIES

A unique opportunity to be part of a subscription-based business which also earns royalties in the music field.

âž¡ï¸ Music royalties represents a $40 billion+ market that is anticipated to grow 9% annually through 2030 (high level of growth is not frequently seen in other markets and industries).
âž¡ï¸ Because of their nature, music royalties are a great source of consistent recurring revenue income which has shown their propensity to provide an excellent ROI.
âž¡ï¸ Essentially independent of the general market volatility
âž¡ï¸ There is a mass of expected regulatory changes sweeping across the US and Europe with better controls in place to protect music. These aim to rights holders for their contributions and will, in turn, increase the increasing rates of streaming revenues.
âž¡ï¸ The company will also be able to generate additional revenue by monetizing Shorts videos under the upcoming revenue model on YouTube (Q2, 2023).

â€œI think everyone realized that publishing catalogs were assets you could finance, like a building. And the forecasts the investment banks are making for the number of streaming subscribers in the next 10 years are extraordinary. So investment bankers, hedge funds, private equity â€“ they all look at this as an asset class.â€ â€” Martin Bandier, former CEO and chairman of Sony/ATV Music Publishing",373284,10000-100000,"SaaS, MRR, ARR, Subscriptions, Music, Tech, Royalty, Creator Economy , AI, Artificial Intelligence, Sound",179763,5,"PHP, Angular, AWS","B2C/B2B Saas generating consistent revenue by mainly three streams:
- Charging a monthly or annual fee across two pricing tiers.
- Contracts and Enterprise Plans
- Recurring royalties paid by YouTube Content ID and Facebook Rights Manager (with preferential agreements that took years to achieve).","['Epidemic Sound', 'Artlist', 'Soundstripe']",10
2022-12-25,1500000,2.3,"Project management system for streamlining time tracking, workflows, etc.",platinum,652647,88111,,United States,2010-01-01,"Profitable SaaS with $700,000 in ARR and $652,647 in TTM revenue is one of the top 10 project management systems in the world. Constantly award the most user-friendly and easiest to use. Helps streamline projects, processes, workflows, track time and issues. It's built for high-performance teams.

âœ… $652,647 in TTM revenue
âœ… $88,111 in TTM profit
âœ… $57,000 in revenue last month
âœ… Tech: AWS, PHP, React
âœ… Competitors: Asana, Trello

We've been around for over 10 years and have acquired millions of users while being profitable.",700000,1000-10000,"project management, collaboration, tasks, crm, invoicing",88111,0,"AWS, PHP, ReactJS",Saas Premium with Plans,"['Asana', 'Trello']",7
2022-12-25,3500000,1.8,Platform for HR management using MS SharePoint and Office365,platinum,1910000,212000,20,United States,2012-01-01,"Profitable SaaS with $1,910,000 in TTM revenue and $212,000 in TTM profit, up from $1.55 million in 2022 which is the leading HRMS for Microsoft users. Microsoft's user base has increased 2x in the past 2 years, and the platform is poised to dominate in this market. It has 12 years of history, we acquired it earlier this year and rebuilt much of the team and structure to prepare it for growth. We have $1,185,000 in ARR.

âœ… $1,910,000 in TTM revenue
âœ… $212,000 in TTM profit
âœ… $208,000 in revenue last month
âœ… $48,000 in profit last month
âœ… Competitors: HR365, Bamboohr, Hibob, Workday


This is the perfect opportunity for a well-capitalized fund to grow a SaaS product 3-5x easily. HR is booming, and the platform is perfectly positioned.",1180000,100-1000,"Sharepoint, SaaS, HR, United States",212000,20,".Net,Sharepoint","B2B enterprise SaaS with strong LTV, and a great list of clients.","['HR365.us', 'Bamboohr.com', 'Hibob.com', 'Workday.com']",8
2022-12-12,2400000,3,High-touch customized warehouse management solutions for 3PLs and standalone warehouses,platinum,800000,200000,1,United Kingdom,1993-01-01,"Profitable SaaS with $800,000 in TTM revenue and $200,000 in TTM Net profit that offers fast and modern solutions on a modular basis, ensuring you have the right fit for your operation. It partners with you to create an ongoing development path that will support your companyâ€™s ever-changing logistics needs. Its unique blend of skills in logistics and in software development provides a practical approach to your warehousing needs. Identifying areas for improvements to save money, maximize profits, control costs, and improve your logistic processes.

âœ… $800,000 in TTM revenue
âœ… $200,000 in TTM profit
âœ… $120,000 in revenue last month
âœ… $90,000 in profit last month
âœ… Competitors: Mintsoft, InforWMS etc",800000,10-100,"best inventory management software, Bespoke wms solution, Highly customisable wms, inventory and warehouse management, inventory management software, inventory management system, inventory system software, inventory tracking software, inventory tracking system, logistics management software, logistics management systems, stock management software, warehouse inventory management software, warehouse management software, warehouse management system, warehouse management systems uk, warehouse software systems, warehouse stock management system",200000,1,"
C#,
.Net,
VO,
ADS Database,
PHP","The business model is B2B, focussed on 3PLs and standalone warehouses. Pricing over the year have been driven in a more SaaS-driven approach is as follows:

Tiers:
Bronze: $1,999 (Up to 5 users)
Silver: $5,999 (Up to 25 users)
Gold: $14,999 (Up to 50 users)","['Mintsoft', 'InforWMS', 'Oracle Fusion Cloud Warehouse Management', 'Indigo Warehousing Management Software Solutions', 'Korber HighJump Warehouse Advantage', 'Manhattan Associates Warehouse']",127
